region,avg_price,median_price,hourly_wage,avg_hours,price_std,n_platforms,Cluster,PCA1,PCA2
Japan,5.67,5.67,15.62,0.35999999999999993,0.0,1,1,-0.8735115188895253,0.9094111615106366
Jordan,7.656666666666667,7.74,2.22,3.4483333333333333,1.9522902969077889,3,2,-0.3308952716096061,-1.0541329691711598
Kazakhstan,9.156666666666668,7.99,6.81,1.3433333333333333,2.7831870276644626,2,2,-0.41470868379484177,-0.10709579129061148
Kenya,12.99,12.99,1.03,12.61,0.0,1,1,0.15897533860122479,-0.9339504236789338
Kuwait,11.489999999999998,10.74,15.73,0.73,3.4426186072242717,3,2,-0.20061075234643522,0.033625244050560055
Kyrgyzstan,9.99,9.49,1.16,8.613333333333333,2.276546186375249,2,2,-0.0028546922977201157,-1.0717844688761933
Laos,7.490000000000001,7.99,1.02,7.34,2.181976370557328,2,2,-0.18032141843112234,-0.993777611710601
Latvia,18.783333333333335,18.38,11.25,1.6666666666666667,3.27941284482621,2,2,0.16207821718213636,0.26275304015379813
Lebanon,7.656666666666667,7.74,1.67,4.585000000000001,1.9522902969077889,3,2,-0.2711554873140811,-1.1874192566338815
Lithuania,15.333333333333334,14.99,6.19,1.7816666666666667,1.4303307515161003,2,2,-0.13133130501401696,-0.1031247406722454
Luxembourg,11.480000000000002,11.48,66.24,0.17000000000000004,0.0,1,0,-0.5912456828910483,3.9603793996766425
Madagascar,7.54,6.890000000000001,0.26,29.0,3.187713080431332,3,2,1.0633964078718858,-3.440458545814149
Malaysia,4.65,5.21,5.71,0.812,1.5941851664983862,2,2,-0.7103492684968885,-0.18127460578871382
Maldives,12.132307692307693,10.99,6.43,1.887876923076923,3.401279225148851,3,2,-0.11680153898215806,-0.6069543095992611
Mauritius,7.240000000000001,7.49,5.76,1.255,2.1675737288658965,2,2,-0.5215942590149419,-0.18072116427672416
Mexico,236.5,219.0,6.82,34.677499999999995,90.48592717235815,2,3,18.596051716909916,0.5434358275821903
Moldova,8.323333333333334,7.99,3.64,2.29,0.8511511054650429,2,2,-0.5112850736091686,-0.3962663670607393
Mongolia,7.240000000000001,7.49,3.25,2.2275,2.1675737288658965,2,2,-0.4699057194705508,-0.41383499265336615
Montenegro,11.603333333333333,12.06,6.38,1.8199999999999998,1.3597040289855835,2,2,-0.30893156360231583,-0.14049669407557216
Morocco,12.99,12.99,2.0,6.5,0.0,1,1,-0.16158602549545736,-0.33347199972153657
Mozambique,6.54,6.390000000000001,0.32,20.436666666666664,2.06213376683809,3,2,0.5020412620187871,-2.6931352264302006
